Date;Close;AdjClose
Apr 08 2021;409717;409717
Apr 01 2021;407995;407995
Mar 01 2021;397289;397289
Feb 01 2021;381115;381115
Jan 01 2021;371424;371424
Dec 01 2020;375607;375607
Nov 01 2020;362163;362163
Oct 01 2020;326996;326996
Sep 01 2020;336300;336300
Aug 01 2020;350031;350031
Jul 01 2020;327112;327112
Jun 01 2020;310029;310029
May 01 2020;304431;304431
Apr 01 2020;291243;291243
Mar 01 2020;258459;258459
Feb 01 2020;295422;295422
Jan 01 2020;322552;322552
Dec 01 2019;323078;323078
Nov 01 2019;314098;314098
Oct 01 2019;303756;303756
Sep 01 2019;297674;297674
Aug 01 2019;292646;292646
Jul 01 2019;298038;298038
Jun 01 2019;294176;294176
May 01 2019;275206;275206
Apr 01 2019;294583;294583
Mar 01 2019;283440;283440
Feb 01 2019;278449;278449
Jan 01 2019;270410;270410
Dec 01 2018;250685;250685
Nov 01 2018;276017;276017
Oct 01 2018;271174;271174
Sep 01 2018;291398;291398
Aug 01 2018;290152;290152
Jul 01 2018;281629;281629
Jun 01 2018;271837;271837
May 01 2018;270527;270527
Apr 01 2018;264805;264805
Mar 01 2018;264087;264087
Feb 01 2018;271383;271383
Jan 01 2018;282381;282381
Dec 01 2017;267361;267361
Nov 01 2017;264758;264758
Oct 01 2017;257526;257526
Sep 01 2017;251936;251936
Aug 01 2017;247165;247165
Jul 01 2017;247030;247030
Jun 01 2017;242341;242341
May 01 2017;241180;241180
Apr 01 2017;238420;238420
Mar 01 2017;236272;236272
Feb 01 2017;236364;236364
Jan 01 2017;227887;227887
Dec 01 2016;223883;223883
Nov 01 2016;219881;219881
Oct 01 2016;212615;212615
Sep 01 2016;216827;216827
Aug 01 2016;217095;217095
Jul 01 2016;217360;217360
Jun 01 2016;209886;209886
May 01 2016;209695;209695
Apr 01 2016;206530;206530
Mar 01 2016;205974;205974
Feb 01 2016;193223;193223
Jan 01 2016;194024;194024
Dec 01 2015;204394;204394
Nov 01 2015;208041;208041
Oct 01 2015;207936;207936
Sep 01 2015;192003;192003
Aug 01 2015;197218;197218
Jul 01 2015;210384;210384
Jun 01 2015;206311;206311
May 01 2015;210739;210739
